id,latitude,longitude,price,availability_30,availability_60,availability_90,availability_365,review_scores_rating
11551,51.46095,-0.11758,99,0,30,58,290,4.57
13913,51.56861,-0.1127,65,30,60,90,365,4.85
15400,51.4878,-0.16813,75,0,14,44,319,4.79
17402,51.52195,-0.14094,307,6,6,17,218,4.69
17506,51.47935,-0.19743,150,29,59,89,364,
25123,51.57438,-0.21081,29,0,0,0,188,4.78
33332,51.46416,-0.32554,65,30,60,90,365,4.57
36299,51.48085,-0.28086,195,2,25,52,327,4.81
36660,51.58478,-0.16057,72,23,45,71,320,4.84
37384,51.46894,-0.06623,70,29,59,89,364,4.81
38151,51.41844,-0.08729,65,30,60,90,365,
38610,51.50701,-0.23362,155,0,9,39,309,4.86
38950,51.58684,-0.08632,45,29,59,89,89,
38995,51.4786,-0.06114,42,29,59,89,89,5
39387,51.52605,-0.19942,42,28,58,88,88,4.5
40228,51.58738,-0.08792,45,30,60,90,90,
41311,51.574,-0.21058,25,0,0,0,188,4.9
41445,51.61492,-0.25632,250,23,53,83,358,4.56
41509,51.49351,-0.25568,150,30,60,90,180,4.5
41712,51.50191,-0.10204,69,30,60,90,365,4.65
41870,51.5584,0.00258,37,0,0,0,0,4.5
42001,51.49442,-0.20553,50,3,3,8,8,4.8
42010,51.5859,-0.16434,60,0,30,60,332,4.88
42692,51.50822,-0.21562,125,0,0,0,0,
43129,51.48164,-0.21082,38,29,59,89,364,4.71
43202,51.53031,-0.21713,120,0,0,16,40,4.83
44144,51.47511,-0.19263,65,0,0,0,188,4.83
44237,51.4743,-0.19204,55,29,58,88,88,4.64
44384,51.5979,-0.24327,24,30,60,90,365,0
45163,51.55237,-0.19954,40,27,57,87,267,0
45168,51.51812,-0.1977,125,0,0,0,0,4.82
46511,51.53774,0.01859,160,23,53,83,358,
46961,51.48063,-0.18175,85,6,6,6,194,
47192,51.52958,-0.14344,35,29,59,89,364,4.78
47687,51.4934,-0.22929,78,0,4,34,309,4.73
49970,51.49462,-0.22923,45,0,6,18,22,4.69
51830,51.51757,-0.19195,121,0,0,0,172,4.67
53041,51.54783,-0.19764,40,29,59,89,364,4.94
55402,51.37487,-0.11565,56,0,0,0,0,5
56229,51.49547,-0.22942,45,0,0,0,130,4.72
56784,51.39915,-0.10447,35,30,60,90,365,
62747,51.52315,-0.05755,43,0,0,0,0,4.62
62898,51.561,0.06681,49,30,60,90,365,
62901,51.559,0.06854,55,30,60,90,365,
63864,51.50143,-0.02024,139,25,55,85,360,3.83
63948,51.49547,-0.22864,45,5,6,12,262,4.54
64429,51.51902,-0.20744,45,0,0,0,188,4.4
65638,51.48642,-0.09557,75,1,12,12,178,4.75
65831,51.48097,-0.09766,99,29,59,89,89,
65908,51.45932,-0.11874,80,0,0,0,0,
66772,51.4937,-0.22914,55,17,47,77,350,4.67
67851,51.54092,-0.05905,76,0,0,0,188,4.89
67934,51.60268,-0.26268,25,30,60,90,365,4.54
69119,51.56106,0.06686,62,30,60,90,365,
69198,51.59031,-0.09408,36,28,53,83,358,4.45
70482,51.54096,-0.0487,140,19,35,35,304,
71875,51.52216,-0.13859,148,30,60,90,365,4.77
72059,51.59583,-0.14223,80,0,0,0,1,4.93
72913,51.48128,-0.11593,48,0,27,57,57,4.82
73125,51.44563,-0.14195,50,3,3,26,301,4.83
73431,51.46161,-0.11023,70,14,14,14,14,4.92
73884,51.49349,-0.22766,40,5,15,24,46,4.57
75120,51.49245,-0.20381,414,5,33,62,337,4.79
78606,51.57322,0.01045,42,30,60,90,365,5
78892,51.46478,-0.08007,34,0,21,51,51,4.87
79129,51.39648,-0.2117,35,26,56,86,361,4.89
79216,51.43722,-0.01975,60,30,60,90,365,
79571,51.49096,-0.16183,99,0,0,0,0,4.55
80123,51.45173,-0.15556,100,0,0,14,90,4.9
80441,51.49297,-0.1216,95,23,53,83,83,4.81
81015,51.39911,-0.10453,35,30,60,90,365,
81052,51.53917,-0.10221,133,0,0,0,0,5
81080,51.40644,-0.33563,150,11,37,67,342,4.57
81211,51.54796,-0.16462,110,27,57,87,362,4.75
81239,51.53552,-0.0628,140,0,5,35,35,4.67
81410,51.52139,-0.13932,360,23,53,83,83,4.84
81449,51.51061,-0.06646,128,5,5,5,5,4.7
81473,51.41565,-0.07714,40,0,0,16,16,4.8
81635,51.52707,-0.10923,102,6,33,63,301,4.95
81951,51.58388,0.15463,190,29,59,89,364,
84532,51.57765,-0.06197,29,17,47,77,77,4.91
84640,51.589,-0.12273,40,30,60,90,90,5
85191,51.49168,-0.1157,58,30,60,90,365,4.83
85406,51.51853,-0.18351,151,0,0,0,0,4.89
86092,51.48606,-0.19752,139,7,29,48,240,4.76
87514,51.52479,-0.11648,99,11,41,71,316,4.71
87827,51.5107,-0.18997,150,30,60,90,365,
89094,51.48055,0.07261,50,30,60,90,365,
89787,51.44742,-0.43175,55,0,0,0,0,5
89870,51.56792,-0.11125,145,29,59,89,364,4.64
90358,51.49875,-0.19263,198,0,0,0,0,4.59
90522,51.41288,-0.11249,40,29,59,89,364,5
90549,51.49764,-0.01365,47,0,0,0,0,4.9
90700,51.51109,-0.19842,88,8,23,38,257,4.43
91287,51.54026,-0.11712,100,0,0,0,0,4.56
92352,51.54113,-0.09881,90,2,2,2,66,4.86
92399,51.55104,-0.08324,70,19,32,62,337,4.84
92644,51.44201,-0.18739,42,0,0,0,219,4.55
93015,51.49993,-0.21707,100,16,26,48,275,4.73
