Measure,Time,Ethnicity,Ethnicity_type,Geography_name,Geography_code,Geography_type,Value,Numerator,Denominator
% of local population in this ethnic group,2011,Indian,ONS 2011 18+1,City of London,E09000001,Local Authority,2.93,216,7375
% of local population in this ethnic group,2011,Pakistani,ONS 2011 18+1,City of London,E09000001,Local Authority,0.22,16,7375
% of local population in this ethnic group,2011,Bangladeshi,ONS 2011 18+1,City of London,E09000001,Local Authority,3.15,232,7375
% of local population in this ethnic group,2011,Chinese,ONS 2011 18+1,City of London,E09000001,Local Authority,3.57,263,7375
% of local population in this ethnic group,2011,Asian Other,ONS 2011 18+1,City of London,E09000001,Local Authority,2.89,213,7375
% of local population in this ethnic group,2011,Black African,ONS 2011 18+1,City of London,E09000001,Local Authority,1.33,98,7375
% of local population in this ethnic group,2011,Black Caribbean,ONS 2011 18+1,City of London,E09000001,Local Authority,0.62,46,7375
% of local population in this ethnic group,2011,Black Other,ONS 2011 18+1,City of London,E09000001,Local Authority,0.66,49,7375
% of local population in this ethnic group,2011,Mixed White and Black Caribbean,ONS 2011 18+1,City of London,E09000001,Local Authority,0.52,38,7375
% of local population in this ethnic group,2011,Mixed White and Black African,ONS 2011 18+1,City of London,E09000001,Local Authority,0.5,37,7375
% of local population in this ethnic group,2011,Mixed White and Asian,ONS 2011 18+1,City of London,E09000001,Local Authority,1.51,111,7375
% of local population in this ethnic group,2011,Mixed Other,ONS 2011 18+1,City of London,E09000001,Local Authority,1.4,103,7375
% of local population in this ethnic group,2011,White British,ONS 2011 18+1,City of London,E09000001,Local Authority,57.53,4243,7375
% of local population in this ethnic group,2011,White Irish,ONS 2011 18+1,City of London,E09000001,Local Authority,2.44,180,7375
% of local population in this ethnic group,2011,White Gypsy or Irish Traveller,ONS 2011 18+1,City of London,E09000001,Local Authority,0.04,3,7375
% of local population in this ethnic group,2011,White Other,ONS 2011 18+1,City of London,E09000001,Local Authority,18.62,1373,7375
% of local population in this ethnic group,2011,Arab,ONS 2011 18+1,City of London,E09000001,Local Authority,0.94,69,7375
% of local population in this ethnic group,2011,Other ethnic group,ONS 2011 18+1,City of London,E09000001,Local Authority,1.15,85,7375
% of local population in this ethnic group,2011,Asian,ONS 2011 5+1,City of London,E09000001,Local Authority,12.75,940,7375
% of local population in this ethnic group,2011,Black,ONS 2011 5+1,City of London,E09000001,Local Authority,2.62,193,7375
% of local population in this ethnic group,2011,Mixed,ONS 2011 5+1,City of London,E09000001,Local Authority,3.92,289,7375
% of local population in this ethnic group,2011,White,ONS 2011 5+1,City of London,E09000001,Local Authority,78.63,5799,7375
% of local population in this ethnic group,2011,Other,ONS 2011 5+1,City of London,E09000001,Local Authority,2.09,154,7375
% of national ethnic population in this LA area,2011,Indian,ONS 2011 18+1,City of London,E09000001,Local Authority,0.02,216,1412958
% of national ethnic population in this LA area,2011,Pakistani,ONS 2011 18+1,City of London,E09000001,Local Authority,0,16,1124511
% of national ethnic population in this LA area,2011,Bangladeshi,ONS 2011 18+1,City of London,E09000001,Local Authority,0.05,232,447201
% of national ethnic population in this LA area,2011,Chinese,ONS 2011 18+1,City of London,E09000001,Local Authority,0.07,263,393141
% of national ethnic population in this LA area,2011,Asian Other,ONS 2011 18+1,City of London,E09000001,Local Authority,0.03,213,835720
% of national ethnic population in this LA area,2011,Black African,ONS 2011 18+1,City of London,E09000001,Local Authority,0.01,98,989628
% of national ethnic population in this LA area,2011,Black Caribbean,ONS 2011 18+1,City of London,E09000001,Local Authority,0.01,46,594825
% of national ethnic population in this LA area,2011,Black Other,ONS 2011 18+1,City of London,E09000001,Local Authority,0.02,49,280437
% of national ethnic population in this LA area,2011,Mixed White and Black Caribbean,ONS 2011 18+1,City of London,E09000001,Local Authority,0.01,38,426715
% of national ethnic population in this LA area,2011,Mixed White and Black African,ONS 2011 18+1,City of London,E09000001,Local Authority,0.02,37,165974
% of national ethnic population in this LA area,2011,Mixed White and Asian,ONS 2011 18+1,City of London,E09000001,Local Authority,0.03,111,341727
% of national ethnic population in this LA area,2011,Mixed Other,ONS 2011 18+1,City of London,E09000001,Local Authority,0.04,103,289984
% of national ethnic population in this LA area,2011,White British,ONS 2011 18+1,City of London,E09000001,Local Authority,0.01,4243,45134686
% of national ethnic population in this LA area,2011,White Irish,ONS 2011 18+1,City of London,E09000001,Local Authority,0.03,180,531087
